Таблица узлов (1)-Учебная версия;;;;;;;;;
;Координаты;;;Связи;;;;;
№ узла;X (м);Y (м);Z (м);X;Y;Z;UX;UY;UZ
200;-65.947777;-5.99997;6;-;-;-;-;-;-
201;-64.992218;-5.99997;6;-;-;-;-;-;-
202;-64.036697;-5.99997;6;-;-;-;-;-;-
203;-63.0811;-5.99997;6;-;-;-;-;-;-
204;-62.125599;-5.99997;6;-;-;-;-;-;-
205;-61.169998;-5.99997;6;-;-;-;-;-;-
206;-60.970001;-5.99997;6;-;-;-;-;-;-
207;-60.77;-5.99997;6;-;-;-;-;-;-
208;-59.8144;-5.99997;6;-;-;-;-;-;-
209;-58.858891;-5.99997;6;-;-;-;-;-;-
210;-57.903301;-5.99997;6;-;-;-;-;-;-
211;-56.9478;-5.99997;6;-;-;-;-;-;-
212;-55.992199;-5.99997;6;-;-;-;-;-;-
213;-55.036701;-5.99997;6;-;-;-;-;-;-
214;-54.0811;-5.99997;6;-;-;-;-;-;-
215;-53.125599;-5.99997;6;-;-;-;-;-;-
216;-52.169998;-5.99997;6;-;-;-;-;-;-
217;-51.96999;-5.99997;6;-;-;-;-;-;-
218;-69.969994;-11.99997;6;-;-;-;-;-;-
219;-69.769997;-11.99997;6;-;-;-;-;-;-
220;-68.814438;-11.99997;6;-;-;-;-;-;-
221;-67.858887;-11.99997;6;-;-;-;-;-;-
222;-66.903328;-11.99997;6;-;-;-;-;-;-
223;-65.947777;-11.99997;6;-;-;-;-;-;-
224;-64.992218;-11.99997;6;-;-;-;-;-;-
225;-64.036697;-11.99997;6;-;-;-;-;-;-
226;-63.0811;-11.99997;6;-;-;-;-;-;-
227;-62.125599;-11.99997;6;-;-;-;-;-;-
228;-61.169998;-11.99997;6;-;-;-;-;-;-
229;-60.970001;-11.99997;6;-;-;-;-;-;-
230;-60.77;-11.99997;6;-;-;-;-;-;-
231;-59.8144;-11.99997;6;-;-;-;-;-;-
232;-58.858891;-11.99997;6;-;-;-;-;-;-
233;-57.903301;-11.99997;6;-;-;-;-;-;-
234;-56.9478;-11.99997;6;-;-;-;-;-;-
235;-55.992199;-11.99997;6;-;-;-;-;-;-
236;-55.036701;-11.99997;6;-;-;-;-;-;-
237;-54.0811;-11.99997;6;-;-;-;-;-;-
238;-53.125599;-11.99997;6;-;-;-;-;-;-
239;-52.169998;-11.99997;6;-;-;-;-;-;-
240;-51.96999;-11.99997;6;-;-;-;-;-;-
241;-69.969994;-17.999969;6;-;-;-;-;-;-
242;-69.769997;-17.999969;6;-;-;-;-;-;-
243;-68.814438;-17.999969;6;-;-;-;-;-;-
244;-67.858887;-17.999969;6;-;-;-;-;-;-
245;-66.903328;-17.999969;6;-;-;-;-;-;-
246;-65.947777;-17.999969;6;-;-;-;-;-;-
247;-64.992218;-17.999969;6;-;-;-;-;-;-
248;-64.036697;-17.999969;6;-;-;-;-;-;-
249;-63.0811;-17.999969;6;-;-;-;-;-;-
250;-62.125599;-17.999969;6;-;-;-;-;-;-
251;-61.169998;-17.999969;6;-;-;-;-;-;-
252;-60.970001;-17.999969;6;-;-;-;-;-;-
253;-60.77;-17.999969;6;-;-;-;-;-;-
254;-59.8144;-17.999969;6;-;-;-;-;-;-
255;-58.858891;-17.999969;6;-;-;-;-;-;-
256;-57.903301;-17.999969;6;-;-;-;-;-;-
257;-56.9478;-17.999969;6;-;-;-;-;-;-
258;-55.992199;-17.999969;6;-;-;-;-;-;-
259;-55.036701;-17.999969;6;-;-;-;-;-;-
260;-54.0811;-17.999969;6;-;-;-;-;-;-
261;-53.125599;-17.999969;6;-;-;-;-;-;-
262;-52.169998;-17.999969;6;-;-;-;-;-;-
263;-51.96999;-17.999969;6;-;-;-;-;-;-
264;-69.969994;-23.999969;6;-;-;-;-;-;-
265;-69.769997;-23.999969;6;-;-;-;-;-;-
266;-68.814438;-23.999969;6;-;-;-;-;-;-
267;-67.858887;-23.999969;6;-;-;-;-;-;-
268;-66.903328;-23.999969;6;-;-;-;-;-;-
269;-65.947777;-23.999969;6;-;-;-;-;-;-
270;-64.992218;-23.999969;6;-;-;-;-;-;-
271;-64.036697;-23.999969;6;-;-;-;-;-;-
272;-63.0811;-23.999969;6;-;-;-;-;-;-
273;-62.125599;-23.999969;6;-;-;-;-;-;-
274;-61.169998;-23.999969;6;-;-;-;-;-;-
275;-60.77;-29.59997;6;-;-;-;-;-;-
276;-59.8144;-29.59997;6;-;-;-;-;-;-
277;-58.858891;-29.59997;6;-;-;-;-;-;-
278;-57.903301;-29.59997;6;-;-;-;-;-;-
279;-56.9478;-29.59997;6;-;-;-;-;-;-
280;-55.992199;-29.59997;6;-;-;-;-;-;-
281;-55.036701;-29.59997;6;-;-;-;-;-;-
282;-54.0811;-29.59997;6;-;-;-;-;-;-
283;-53.125599;-29.59997;6;-;-;-;-;-;-
284;-52.169998;-29.59997;6;-;-;-;-;-;-
285;-51.96999;-29.59997;6;-;-;-;-;-;-
286;-69.969994;-5.99997;9;-;-;-;-;-;-
287;-69.769997;-5.99997;9;-;-;-;-;-;-
288;-68.814438;-5.99997;9;-;-;-;-;-;-
289;-67.858887;-5.99997;9;-;-;-;-;-;-
290;-66.903328;-5.99997;9;-;-;-;-;-;-
291;-65.947777;-5.99997;9;-;-;-;-;-;-
292;-64.992218;-5.99997;9;-;-;-;-;-;-
293;-64.036697;-5.99997;9;-;-;-;-;-;-
294;-63.0811;-5.99997;9;-;-;-;-;-;-
295;-62.125599;-5.99997;9;-;-;-;-;-;-
296;-61.169998;-5.99997;9;-;-;-;-;-;-
297;-60.970001;-5.99997;9;-;-;-;-;-;-
298;-60.77;-5.99997;9;-;-;-;-;-;-
299;-59.8144;-5.99997;9;-;-;-;-;-;-
300;-58.858891;-5.99997;9;-;-;-;-;-;-
301;-57.903301;-5.99997;9;-;-;-;-;-;-
302;-56.9478;-5.99997;9;-;-;-;-;-;-
303;-55.992199;-5.99997;9;-;-;-;-;-;-
304;-55.036701;-5.99997;9;-;-;-;-;-;-
305;-54.0811;-5.99997;9;-;-;-;-;-;-
306;-53.125599;-5.99997;9;-;-;-;-;-;-
307;-52.169998;-5.99997;9;-;-;-;-;-;-
308;-51.96999;-5.99997;9;-;-;-;-;-;-
309;-60.970001;-11.99997;9;-;-;-;-;-;-
310;-60.77;-11.99997;9;-;-;-;-;-;-
311;-59.8144;-11.99997;9;-;-;-;-;-;-
312;-58.858891;-11.99997;9;-;-;-;-;-;-
313;-57.903301;-11.99997;9;-;-;-;-;-;-
314;-56.9478;-11.99997;9;-;-;-;-;-;-
315;-55.992199;-11.99997;9;-;-;-;-;-;-
316;-55.036701;-11.99997;9;-;-;-;-;-;-
317;-54.0811;-11.99997;9;-;-;-;-;-;-
318;-53.125599;-11.99997;9;-;-;-;-;-;-
319;-52.169998;-11.99997;9;-;-;-;-;-;-
320;-51.96999;-11.99997;9;-;-;-;-;-;-
321;-69.969994;-11.99997;9;-;-;-;-;-;-
322;-69.769997;-11.99997;9;-;-;-;-;-;-
323;-68.814438;-11.99997;9;-;-;-;-;-;-
324;-67.858887;-11.99997;9;-;-;-;-;-;-
325;-66.903328;-11.99997;9;-;-;-;-;-;-
326;-65.947777;-11.99997;9;-;-;-;-;-;-
327;-64.992218;-11.99997;9;-;-;-;-;-;-
328;-64.036697;-11.99997;9;-;-;-;-;-;-
329;-63.0811;-11.99997;9;-;-;-;-;-;-
330;-62.125599;-11.99997;9;-;-;-;-;-;-
331;-61.169998;-11.99997;9;-;-;-;-;-;-
332;-69.969994;-17.999969;9;-;-;-;-;-;-
333;-69.769997;-17.999969;9;-;-;-;-;-;-
334;-68.814438;-17.999969;9;-;-;-;-;-;-
335;-67.858887;-17.999969;9;-;-;-;-;-;-
336;-66.903328;-17.999969;9;-;-;-;-;-;-
337;-65.947777;-17.999969;9;-;-;-;-;-;-
338;-64.992218;-17.999969;9;-;-;-;-;-;-
339;-64.036697;-17.999969;9;-;-;-;-;-;-
340;-63.0811;-17.999969;9;-;-;-;-;-;-
341;-62.125599;-17.999969;9;-;-;-;-;-;-
342;-61.169998;-17.999969;9;-;-;-;-;-;-
343;-60.970001;-17.999969;9;-;-;-;-;-;-
344;-60.77;-17.999969;9;-;-;-;-;-;-
345;-59.8144;-17.999969;9;-;-;-;-;-;-
346;-58.858891;-17.999969;9;-;-;-;-;-;-
347;-57.903301;-17.999969;9;-;-;-;-;-;-
348;-56.9478;-17.999969;9;-;-;-;-;-;-
349;-55.992199;-17.999969;9;-;-;-;-;-;-
350;-55.036701;-17.999969;9;-;-;-;-;-;-
351;-54.0811;-17.999969;9;-;-;-;-;-;-
352;-53.125599;-17.999969;9;-;-;-;-;-;-
353;-52.169998;-17.999969;9;-;-;-;-;-;-
354;-51.96999;-17.999969;9;-;-;-;-;-;-
355;-69.969994;-23.999969;9;-;-;-;-;-;-
356;-69.769997;-23.999969;9;-;-;-;-;-;-
357;-68.814438;-23.999969;9;-;-;-;-;-;-
358;-67.858887;-23.999969;9;-;-;-;-;-;-
359;-66.903328;-23.999969;9;-;-;-;-;-;-
360;-65.947777;-23.999969;9;-;-;-;-;-;-
361;-64.992218;-23.999969;9;-;-;-;-;-;-
362;-64.036697;-23.999969;9;-;-;-;-;-;-
363;-63.0811;-23.999969;9;-;-;-;-;-;-
364;-62.125599;-23.999969;9;-;-;-;-;-;-
365;-61.169998;-23.999969;9;-;-;-;-;-;-
366;-60.77;-29.59997;9;-;-;-;-;-;-
367;-59.8144;-29.59997;9;-;-;-;-;-;-
368;-58.858891;-29.59997;9;-;-;-;-;-;-
369;-57.903301;-29.59997;9;-;-;-;-;-;-
370;-56.9478;-29.59997;9;-;-;-;-;-;-
371;-55.992199;-29.59997;9;-;-;-;-;-;-
372;-55.036701;-29.59997;9;-;-;-;-;-;-
373;-54.0811;-29.59997;9;-;-;-;-;-;-
374;-53.125599;-29.59997;9;-;-;-;-;-;-
375;-52.169998;-29.59997;9;-;-;-;-;-;-
376;-51.96999;-29.59997;9;-;-;-;-;-;-
377;-69.969994;-5.99997;11.85;-;-;-;-;-;-
378;-69.769997;-5.99997;11.85;-;-;-;-;-;-
379;-68.814438;-5.99997;11.85;-;-;-;-;-;-
380;-67.858887;-5.99997;11.85;-;-;-;-;-;-
381;-66.903328;-5.99997;11.85;-;-;-;-;-;-
382;-65.947777;-5.99997;11.85;-;-;-;-;-;-
383;-64.992218;-5.99997;11.85;-;-;-;-;-;-
384;-64.036697;-5.99997;11.85;-;-;-;-;-;-
385;-63.0811;-5.99997;11.85;-;-;-;-;-;-
386;-62.125599;-5.99997;11.85;-;-;-;-;-;-
387;-61.169998;-5.99997;11.85;-;-;-;-;-;-
388;-60.970001;-5.99997;11.85;-;-;-;-;-;-
389;-60.77;-5.99997;11.85;-;-;-;-;-;-
390;-59.8144;-5.99997;11.85;-;-;-;-;-;-
391;-58.858891;-5.99997;11.85;-;-;-;-;-;-
392;-57.903301;-5.99997;11.85;-;-;-;-;-;-
393;-56.9478;-5.99997;11.85;-;-;-;-;-;-
394;-55.992199;-5.99997;11.85;-;-;-;-;-;-
395;-55.036701;-5.99997;11.85;-;-;-;-;-;-
396;-54.0811;-5.99997;11.85;-;-;-;-;-;-
397;-53.125599;-5.99997;11.85;-;-;-;-;-;-
398;-52.169998;-5.99997;11.85;-;-;-;-;-;-
399;-51.96999;-5.99997;11.85;-;-;-;-;-;-
400;-69.969994;-11.99997;11.85;-;-;-;-;-;-
401;-69.769997;-11.99997;11.85;-;-;-;-;-;-
402;-68.814438;-11.99997;11.85;-;-;-;-;-;-
403;-67.858887;-11.99997;11.85;-;-;-;-;-;-
404;-66.903328;-11.99997;11.85;-;-;-;-;-;-
405;-65.947777;-11.99997;11.85;-;-;-;-;-;-
406;-64.992218;-11.99997;11.85;-;-;-;-;-;-
407;-64.036697;-11.99997;11.85;-;-;-;-;-;-
408;-63.0811;-11.99997;11.85;-;-;-;-;-;-
409;-62.125599;-11.99997;11.85;-;-;-;-;-;-
410;-61.169998;-11.99997;11.85;-;-;-;-;-;-
411;-60.970001;-11.99997;11.85;-;-;-;-;-;-
412;-60.77;-11.99997;11.85;-;-;-;-;-;-
413;-59.8144;-11.99997;11.85;-;-;-;-;-;-
414;-58.858891;-11.99997;11.85;-;-;-;-;-;-
415;-57.903301;-11.99997;11.85;-;-;-;-;-;-
416;-56.9478;-11.99997;11.85;-;-;-;-;-;-
417;-55.992199;-11.99997;11.85;-;-;-;-;-;-
418;-55.036701;-11.99997;11.85;-;-;-;-;-;-
419;-54.0811;-11.99997;11.85;-;-;-;-;-;-
420;-53.125599;-11.99997;11.85;-;-;-;-;-;-
421;-52.169998;-11.99997;11.85;-;-;-;-;-;-
422;-51.96999;-11.99997;11.85;-;-;-;-;-;-
423;-69.969994;-17.999969;11.85;-;-;-;-;-;-
424;-69.769997;-17.999969;11.85;-;-;-;-;-;-
425;-68.814438;-17.999969;11.85;-;-;-;-;-;-
426;-67.858887;-17.999969;11.85;-;-;-;-;-;-
427;-66.903328;-17.999969;11.85;-;-;-;-;-;-
428;-65.947777;-17.999969;11.85;-;-;-;-;-;-
429;-64.992218;-17.999969;11.85;-;-;-;-;-;-
430;-64.036697;-17.999969;11.85;-;-;-;-;-;-
431;-63.0811;-17.999969;11.85;-;-;-;-;-;-
432;-62.125599;-17.999969;11.85;-;-;-;-;-;-
433;-61.169998;-17.999969;11.85;-;-;-;-;-;-
434;-60.970001;-17.999969;11.85;-;-;-;-;-;-
435;-60.77;-17.999969;11.85;-;-;-;-;-;-
436;-59.8144;-17.999969;11.85;-;-;-;-;-;-
437;-58.858891;-17.999969;11.85;-;-;-;-;-;-
438;-57.903301;-17.999969;11.85;-;-;-;-;-;-
439;-56.9478;-17.999969;11.85;-;-;-;-;-;-
440;-55.992199;-17.999969;11.85;-;-;-;-;-;-
441;-55.036701;-17.999969;11.85;-;-;-;-;-;-
442;-54.0811;-17.999969;11.85;-;-;-;-;-;-
443;-53.125599;-17.999969;11.85;-;-;-;-;-;-
444;-52.169998;-17.999969;11.85;-;-;-;-;-;-
445;-51.96999;-17.999969;11.85;-;-;-;-;-;-
446;-69.969994;-23.999969;11.85;-;-;-;-;-;-
447;-69.769997;-23.999969;11.85;-;-;-;-;-;-
448;-68.814438;-23.999969;11.85;-;-;-;-;-;-
449;-67.858887;-23.999969;11.85;-;-;-;-;-;-
450;-66.903328;-23.999969;11.85;-;-;-;-;-;-
451;-65.947777;-23.999969;11.85;-;-;-;-;-;-
452;-64.992218;-23.999969;11.85;-;-;-;-;-;-
453;-64.036697;-23.999969;11.85;-;-;-;-;-;-
454;-63.0811;-23.999969;11.85;-;-;-;-;-;-
455;-62.125599;-23.999969;11.85;-;-;-;-;-;-
456;-61.169998;-23.999969;11.85;-;-;-;-;-;-
457;-60.77;-29.59997;11.85;-;-;-;-;-;-
458;-59.8144;-29.59997;11.85;-;-;-;-;-;-
459;-58.858891;-29.59997;11.85;-;-;-;-;-;-
460;-57.903301;-29.59997;11.85;-;-;-;-;-;-
461;-56.9478;-29.59997;11.85;-;-;-;-;-;-
462;-55.992199;-29.59997;11.85;-;-;-;-;-;-
463;-55.036701;-29.59997;11.85;-;-;-;-;-;-
464;-54.0811;-29.59997;11.85;-;-;-;-;-;-
465;-53.125599;-29.59997;11.85;-;-;-;-;-;-
466;-52.169998;-29.59997;11.85;-;-;-;-;-;-
467;-51.96999;-29.59997;11.85;-;-;-;-;-;-
468;-69.969994;-5.99997;15.25;-;-;-;-;-;-
469;-69.769997;-5.99997;15.25;-;-;-;-;-;-
470;-68.814438;-5.99997;15.25;-;-;-;-;-;-
471;-67.858887;-5.99997;15.25;-;-;-;-;-;-
472;-66.903328;-5.99997;15.25;-;-;-;-;-;-
473;-65.947777;-5.99997;15.25;-;-;-;-;-;-
474;-64.992218;-5.99997;15.25;-;-;-;-;-;-
475;-64.036697;-5.99997;15.25;-;-;-;-;-;-
476;-63.0811;-5.99997;15.25;-;-;-;-;-;-
477;-62.125599;-5.99997;15.25;-;-;-;-;-;-
478;-61.169998;-5.99997;15.25;-;-;-;-;-;-
479;-60.970001;-5.99997;15.25;-;-;-;-;-;-
